ID,Artists,Streams
428,"A$AP Ferg, MadeinTYO, Nicki Minaj",5768616
429,"Lil Tjay, Pop Smoke, Swae Lee",5702636
430,"Cedric Gervais, Chris Willis, David Guetta",5697984
431,"James Blake, Metro Boomin, Travis Scott",5687330
432,"Eminem, Labrinth, Nicki Minaj",5633462
433,"Lazza, MACHETE, Salmo",5616755
434,"Capital Bra, Clueso, KC Rebell",5600868
435,"Don Toliver, Internet Money, Roddy Ricch",5550390
436,"Guè, Marracash, Sfera Ebbasta",5504912
437,"Future, Juice WRLD, Young Scooter",5492731
438,"G-Eazy, Martin Garrix, Sasha Alex Sloan",5490586
439,"Gunna, Lil Uzi Vert, Young Thug",5468083
440,"Bas, J. Cole, Lil Tjay",5454994
441,"Don Toliver, Lil Uzi Vert, Pusha T",5431948
442,"Camila Cabello, Myke Towers, Tainy",5412180
443,"Cordae, Eminem, Jack Harlow",5404939
444,"Clever, Juice WRLD, Post Malone",5393459
445,"Bad Bunny, J Balvin, Mr Eazi",5383079
446,"Fivio Foreign, Lil Tjay, Pop Smoke",5368705
447,"Future, Southside, Travis Scott",5338777
448,"Fivio Foreign, Polo G, Pop Smoke",5335308
449,"Justin Bieber, Tems, Wizkid",5332786
450,"Calvin Harris, Normani, Wizkid",5300328
451,"A$AP Ferg, Big Sean, Hit-Boy",5275170
452,"Clean Bandit, Luis Fonsi, MARINA",5252329
453,"Internet Money, The Kid LAROI, YoungBoy Never Broke Again",5226940
454,"187 Strassenbande, Bonez MC, Frauenarzt",5203700
455,"Geolier, Sfera Ebbasta, Shablo",5171235
456,"Ashanti, Lil Wayne, Mack Maine",5133296
457,"Carlos Santana, Tyga, YG",5120047
458,"Anne-Marie, Digital Farm Animals, KSI",5119828
459,"Mark Ronson, Miley Cyrus, Sean Ono Lennon",5071367
460,"Alesso, James Bay, Marshmello",5062566
461,"G-Eazy, Rich The Kid, Tyga",5062370
462,"Mainstreet, Mc Poze do Rodo, Neo Beats",5051514
463,"Chance the Rapper, Murda Beatz, TisaKorean",5033602
464,"KC Rebell, Luciano, Summer Cem",5029858
465,"French Montana, Max B, The Weeknd",4952588
466,"Dewain Whitmore, Justin Mylo, Martin Garrix",4950269
467,"Quavo, Tory Lanez, Tyga",4936877
468,"KSI, Swarmz, Tion Wayne",4914429
469,"Linkin Park, Pusha T, Stormzy",4879064
470,"Fall Out Boy, ILOVEMAKONNEN, Lil Peep",4878588
471,"DaBaby, Future, jetsonmade",4861875
472,"Anuel AA, Juice WRLD, Rvssian",4822090
473,"Jesse®, Swae Lee, benny blanco",4680055
474,"Dreamville, J. Cole, Young Nudy",4581012
475,"Clever, Juice WRLD, Rvssian",4571412
476,"Capital Bra, Eno, Luciano",4361757
477,"Lil Baby, Lil Duke, Trippie Redd",4302449
478,"Metro Boomin, Swae Lee, Wizkid",4285014
479,"Capo Plaza, DrefGold, Sfera Ebbasta",4169823
480,"DJ Snake, French Montana, GASHI",4154838
481,"Mozzy, REASON, Sjava",4010800
482,"070 Shake, Diddy, Nas",3912138
483,"P!nk, Sia, Stargate",3896269
484,"Big Sean, Kash Doll, Metro Boomin",3752647
485,"Calvin Harris, Funk Wav, Nicki Minaj",3597699
486,"Anne-Marie, Mike Posner, Nick Jonas",3488062
487,"Chris Brown, Future, Young Thug",3336413
488,"187 Strassenbande, Bonez MC, Gzuz",3282104
489,"2 Chainz, Gucci Mane, Quavo",3221363
490,"Big Sean, Starrah, The Flint Chozen Choir",2922341
