Edge_Artist_1,Edge_Artist_2,Streams,Path,Path Length
Future,Don Toliver,490752797,Future → Justin Bieber → Don Toliver,2
Sech,Arcángel,488477647,Sech → Bad Bunny → Arcángel,2
Justin Bieber,Dan + Shay,488230568,,-1
Rauw Alejandro,ROSALÍA,487253474,Rauw Alejandro → Bad Bunny → ROSALÍA,2
Coolio,L.V.,485584143,,-1
Khalid,Normani,483126319,Khalid → Calvin Harris → Normani,2
Bad Bunny,Mora,483056098,Bad Bunny → Feid → Mora,2
Bad Bunny,Dua Lipa,483027771,Bad Bunny → J Balvin → Dua Lipa,2
Dua Lipa,J Balvin,483027771,Dua Lipa → Bad Bunny → J Balvin,2
Dua Lipa,Tainy,483027771,Dua Lipa → Bad Bunny → Tainy,2
Post Malone,Doja Cat,482280122,Post Malone → SZA → Doja Cat,2
Travis Scott,Kodak Black,481921324,Travis Scott → 21 Savage → Kodak Black,2
Darell,Brytiago,480156145,Darell → Chencho Corleone → Brytiago,2
Bad Bunny,Rauw Alejandro,479414025,Bad Bunny → Chencho Corleone → Rauw Alejandro,2
Bad Bunny,Feid,478751142,Bad Bunny → Ozuna → Feid,2
J Balvin,Maria Becerra,475638530,J Balvin → David Guetta → Becky G → Maria Becerra,3
Offset,Kodak Black,475296500,Offset → 21 Savage → Kodak Black,2
Nicky Youre,dazy,473537915,,-1
Bad Bunny,Lunay,470193808,Bad Bunny → Chencho Corleone → Lunay,2
Daddy Yankee,Lunay,470193808,Daddy Yankee → Bad Bunny → Lunay,2
Calle 24,Fuerza Regida,465122462,Calle 24 → Chino Pacas → Fuerza Regida,2
Calvin Harris,Katy Perry,462389197,Calvin Harris → Migos → Katy Perry,2
Calvin Harris,Big Sean,462389197,Calvin Harris → Travis Scott → Big Sean,2
Pharrell Williams,Katy Perry,462389197,Pharrell Williams → Calvin Harris → Katy Perry,2
Pharrell Williams,Big Sean,462389197,Pharrell Williams → 21 Savage → Big Sean,2
Pharrell Williams,Funk Wav,462389197,Pharrell Williams → Calvin Harris → Funk Wav,2
Katy Perry,Big Sean,462389197,Katy Perry → Calvin Harris → Big Sean,2
Katy Perry,Funk Wav,462389197,Katy Perry → Calvin Harris → Funk Wav,2
Big Sean,Funk Wav,462389197,Big Sean → Calvin Harris → Funk Wav,2
ACRAZE,Cherish,461769872,,-1
Bad Bunny,Aventura,460049685,,-1
Shakira,Rauw Alejandro,459536080,Shakira → Bizarrap → Rauw Alejandro,2
Feid,Rafa Pabön,458742021,Feid → Sech → Rafa Pabön,2
Sech,Rafa Pabön,458742021,Sech → Feid → Rafa Pabön,2
Dalex,Rafa Pabön,458742021,Dalex → Chencho Corleone → Rafa Pabön,2
Rafa Pabön,Lenny Tavárez,458742021,Rafa Pabön → Chencho Corleone → Lenny Tavárez,2
MEDUZA,Becky Hill,458741117,MEDUZA → Goodboys → Becky Hill,2
Goodboys,Becky Hill,458741117,Goodboys → MEDUZA → Becky Hill,2
J Balvin,Farruko,458716898,J Balvin → Bad Bunny → Farruko,2
The Weeknd,JENNIE,458268318,The Weeknd → Lily-Rose Depp → JENNIE,2
The Weeknd,Lily-Rose Depp,458268318,The Weeknd → JENNIE → Lily-Rose Depp,2
JENNIE,Lily-Rose Depp,458268318,JENNIE → The Weeknd → Lily-Rose Depp,2
Myke Towers,Nio Garcia,458224087,Myke Towers → Bad Bunny → Nio Garcia,2
Demi Lovato,Luis Fonsi,455074445,Demi Lovato → Clean Bandit → Luis Fonsi,2
Jonas Blue,William Singe,451460018,,-1
Mora,Sech,443732541,Mora → Bad Bunny → Sech,2
Ty Dolla $ign,Kanye West,442380736,Ty Dolla $ign → Drake → Kanye West,2
Ed Sheeran,Eminem,437345668,Ed Sheeran → 50 Cent → Eminem,2
