Artist ID,Artists,Streams
296,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",15034846
297,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",7942582
298,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",6309380
299,"Jay Rock, Kendrick Lamar, Future, James Blake",6305958
300,"Daddy Yankee, NATTI NATASHA, Becky G, Bad Bunny",4813672
301,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",4018319
302,"Imagine Dragons, JID, Arcane, League of Legends",8559312
303,"DJ Snake, Selena Gomez, Ozuna, Cardi B",14120363
304,"benny blanco, Selena Gomez, J Balvin, Tainy",14098508
305,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",6038587
306,"Tropkillaz, J Balvin, Anitta, ZAAC",5547046
307,"ChocQuibTown, Zion & Lennox, Farruko, Manuel Turizo",5326529
308,"Silk City, Dua Lipa, Diplo, Mark Ronson",4508944
309,"Joel Corry, Jax Jones, Charli XCX, Saweetie",10295426
310,"Skylar Grey, Polo G, Mozzy, Eminem",9017453
311,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",7386563
312,"Internet Money, Gunna, Don Toliver, NAV",5633307
313,"Jasleen Royal, B Praak, Romy, Anvita Dutt",5027772
314,"Imagine Dragons, JID, Arcane, League of Legends",11282557
315,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",10315352
316,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams",8050805
317,"Sebastian Yatra, Daddy Yankee, NATTI NATASHA, Jonas Brothers",8243550
318,"DJ Snake, Selena Gomez, Ozuna, Cardi B",6787871
319,"Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie",5044999
320,"Jax Jones, Martin Solveig, Madison Beer, Europa",4983819
321,"Major Lazer, Travis Scott, Camila Cabello, Quavo",11943876
322,"Chris Jedi, J Balvin, Ozuna, Arcángel",8882668
323,"Calvin Harris, Future, Khalid, Funk Wav",6962962
324,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",4498299
325,"Tyler, The Creator, Frank Ocean, Steve Lacy",3653538
326,"Tyler, The Creator, Rex Orange County, Anna of the North",3396784
327,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",7798299
328,"Lorde, Khalid, Post Malone, SZA",7349843
329,"Chris Jedi, J Balvin, Ozuna, Arcángel",6427073
330,"Major Lazer, Travis Scott, Camila Cabello, Quavo",5663083
331,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",4682621
332,"Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas, Kiiara",3529656
333,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",8822535
334,"Imagine Dragons, JID, Arcane, League of Legends",10308783
335,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",9852778
336,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams",7674316
337,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",6074114
